date,recycle Aerosol Cans - Full,recycle Alkaline Batteries,recycle Aluminum Foil,recycle Antifreeze,recycle Asphalt,recycle Auto Parts,recycle Brick,recycle Brush,recycle CD Cases,recycle CDs,recycle Cables,recycle Car Batteries,recycle Carpet,recycle Cassette Tapes,recycle Cell Phones,recycle Chip Bags,recycle Christmas Trees,recycle Clothing,recycle Concrete,recycle Cooking Oil,recycle Cookware,recycle Corks,recycle Corrugated Cardboard,recycle Crayons,recycle DVDs,recycle Dirt,recycle Doors,recycle Envelopes,recycle Eyeglasses,recycle Fabric,recycle Fire Extinguishers,recycle Floppy Disks,recycle Fluorescent Tubes,recycle Gasoline,recycle Hair,recycle Halogen Bulbs,recycle Hard Drives,recycle Hardware,recycle Heaters,recycle Leaves,recycle Lithium Batteries,recycle Lumber,recycle Magazines,recycle Mattresses,recycle Microwaves,recycle Motor Oil,recycle Nail Polish,recycle Newspaper,recycle Office Paper,recycle Oil Filters,recycle Pallets,recycle Paper Cups,recycle Phone Books,recycle Pizza Boxes,recycle Printers,recycle Propane Tanks,recycle Refrigerators,recycle Sand,recycle Shoes,recycle Small Appliances,recycle Smoke Detectors,recycle Steel Cans,recycle Stone,recycle Tablets,recycle Tile,recycle Tires,recycle Toner Cartridges,recycle Tools,recycle Toothbrushes,recycle Toothpaste Tubes,recycle Toys,recycle Transmission Fluid,recycle Trophies,recycle Vehicles,recycle Water Filters,recycle Windows,recycle Wood,recycle Yard Waste
2015-12-06,29,76,28,45,0,51,0,22,43,33,23,34,0,0,44,15,12,5,33,68,0,45,30,30,32,0,24,44,44,31,0,19,55,0,24,0,0,52,26,23,0,0,34,42,0,22,0,36,44,0,13,0,38,18,54,47,43,0,14,0,0,0,29,45,12,35,28,56,0,0,74,0,35,44,33,71,10,0
2015-12-13,30,39,29,46,26,52,75,0,22,34,35,71,45,23,20,0,10,12,34,23,31,31,31,31,0,25,24,30,0,24,0,19,26,0,38,0,0,44,0,24,26,0,47,0,23,35,0,19,46,0,28,14,39,37,31,29,30,0,25,33,0,0,44,0,12,16,30,28,29,0,48,0,24,0,33,79,6,23
2015-12-20,0,68,34,0,45,61,44,0,0,60,36,36,52,26,44,0,26,12,50,54,0,36,0,36,78,57,0,0,35,0,0,0,22,44,29,31,0,52,0,0,30,0,27,25,0,27,0,21,0,0,32,0,0,21,54,34,0,0,29,39,39,0,0,0,0,42,28,33,0,0,56,0,28,52,0,80,11,27
2015-12-27,0,42,31,25,0,28,81,0,48,18,38,25,0,48,76,16,99,15,73,50,0,33,34,33,0,0,26,49,32,51,0,0,41,0,67,29,0,100,57,0,42,0,25,23,49,33,0,20,0,0,15,0,62,20,26,31,32,32,53,71,35,0,31,0,13,35,0,46,0,0,62,0,0,0,36,83,8,24
2016-01-03,0,62,0,20,44,44,0,19,37,29,20,30,75,19,68,13,81,11,29,39,0,52,26,26,84,21,21,25,51,30,0,0,21,32,42,0,0,30,22,0,65,30,50,72,26,39,50,31,38,0,23,0,44,31,42,25,38,25,50,47,0,25,25,0,10,24,15,24,0,0,36,0,30,0,28,68,7,29
2016-01-10,0,59,0,19,32,63,0,0,18,21,19,19,30,36,37,0,28,12,0,38,25,0,0,0,27,20,30,0,74,29,19,16,47,31,41,22,22,0,0,0,21,0,0,35,28,19,48,22,74,37,22,0,32,22,50,32,24,24,49,0,27,0,24,38,20,13,23,23,0,0,35,0,29,0,0,67,14,37
2016-01-17,0,65,24,38,33,43,31,0,18,14,0,39,31,37,29,13,8,11,28,38,0,26,26,52,28,0,21,25,25,39,0,32,24,32,21,22,22,29,0,20,0,30,30,18,0,48,99,31,38,0,12,12,32,26,26,24,50,0,25,28,28,25,0,0,20,24,27,40,24,24,24,0,40,0,0,57,13,19
2016-01-24,0,48,24,29,43,36,62,18,0,14,19,39,55,18,54,25,4,8,24,29,26,51,0,38,0,0,30,25,37,39,0,0,31,0,41,0,22,22,22,0,21,20,0,18,19,38,0,15,37,0,23,11,64,25,31,24,24,24,49,27,27,0,24,39,0,30,30,24,0,0,24,0,20,37,27,84,7,37
2016-01-31,24,47,24,0,21,49,31,18,0,28,19,38,54,18,49,12,4,8,37,56,25,0,25,0,0,0,0,0,41,25,19,15,16,31,0,22,0,32,0,0,42,19,38,35,38,19,48,0,0,0,23,0,62,45,22,24,24,24,32,27,0,0,48,0,10,30,10,0,23,23,62,0,0,0,27,52,12,18
2016-02-07,0,23,59,28,0,35,30,0,0,55,19,51,18,18,24,0,4,6,35,37,0,75,25,0,27,0,50,72,24,19,0,16,21,0,51,0,21,22,32,19,42,0,38,17,19,19,97,22,37,0,11,11,31,37,45,23,0,48,32,0,27,24,48,0,0,29,20,0,23,23,23,23,19,36,36,56,9,18
